Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
temporal,nn,34,23,0.1437308868501529,0.3686274509803922,0.9702398150823461,0.2068206820682068,0.9134012557133648,0.21741065386129096,0.02030701960815952,68.1974554839544,0.12198364897631109,8,"[7, 2, 5, 3, 1, 4, 0, 6, 8]","[0.8418626042204411, 0.869378278744077, 0.8977099441658184, 0.8876108175843065, 0.8646955688828262, 0.8965927558321629, 0.8020036028332387, 0.9067305459983099, 0.9353319552634388]"
temporal_rev,nn,34,23,0.18791946308724833,0.4392156862745098,0.974119783712387,0.26321974148061106,0.920208216775781,0.2760568072278582,0.0201670958364298,68.1974554839544,0.1298563239397481,8,"[8, 7, 2, 5, 3, 1, 4, 0, 6]","[0.8418626042204411, 0.869378278744077, 0.8977099441658184, 0.8876108175843065, 0.8646955688828262, 0.8965927558321629, 0.8020036028332387, 0.9067305459983099, 0.9353319552634388]"
dist,nn,34,23,0.16666666666666666,0.37254901960784315,0.9737895736162133,0.23030303030303031,0.8689311549749217,0.23749396350708152,0.02207992770978075,68.1974554839544,0.2611283209407702,15,"[1, 0, 7, 8, 2, 3, 5, 4, 6]","[0.8798719445184875, 0.905345446526977, 0.9467505120214642, 0.9465159120134853, 0.9100229082342816, 0.9426559281258613, 0.8375881709991915, 0.9519492243810141, 0.9496128008243948]"
dist_leak,nn,34,23,0.1437308868501529,0.3686274509803922,0.9702398150823461,0.2068206820682068,0.9134012557133648,0.21741065386129096,0.02030701960815952,68.1974554839544,0.15162281692028046,15,"[7, 8, 2, 3, 5, 4, 1, 0, 6]","[0.8798719445184875, 0.905345446526977, 0.9467505120214642, 0.9465159120134853, 0.9100229082342816, 0.9426559281258613, 0.8375881709991915, 0.9519492243810141, 0.9496128008243948]"
stationary,nn,34,24,0.14171122994652408,0.1879432624113475,0.9775427708137683,0.16158536585365854,0.7821317551148114,0.15197354545890485,0.020283354397781322,78.71316119504627,0.013422301970422268,-1,[0],[-1]
retrain,nn,34,24,0.1437007874015748,0.25886524822695034,0.9737046261892124,0.1848101265822785,0.8843124838690494,0.1803267949175343,0.020446367938775235,78.71316119504627,0.016651481972076,-1,[9],[-1]
oracle,nn,34,24,0.1437007874015748,0.25886524822695034,0.9737046261892124,0.1848101265822785,0.8843124838690494,0.1803267949175343,0.020446367938775235,78.71316119504627,0.2004036729922518,10,"[9, 8, 7, 5, 2, 1, 3, 4, 0, 6]","[0.7821317551148114, 0.8204475417822749, 0.8254087703740681, 0.81932771324421, 0.7897318680790715, 0.8519530278435222, 0.7471287274031198, 0.8563113507109629, 0.8649409149460563, 0.8843124838690494]"
laf,nn,34,24,0.07792207792207792,0.14893617021276595,0.9699073128904495,0.1023142509135201,0.7471287274031198,0.09337596498511425,0.02899165550775752,78.71316119504627,1.2160398439737037,23,"[6, 1, 2, 3, 8, 9, 7, 4, 0, 5]",[-1]
crc,nn,34,24,0.14937759336099585,0.2553191489361702,0.9746845780082479,0.18848167539267016,0.8563113507109629,0.18309574404157639,0.01936730095874487,78.71316119504627,0.1310171940131113,10,"[7, 9, 8, 5, 2, 1, 4, 3, 0, 6]",[-1]
temporal,nn,34,24,0.15384615384615385,0.2765957446808511,0.974153770772937,0.19771863117870722,0.8649409149460563,0.19397171621972234,0.020368394605266384,78.71316119504627,0.1694613000145182,9,"[8, 5, 7, 3, 4, 1, 2, 0, 6, 9]","[0.8392353988149572, 0.8689311549749217, 0.8603226640230596, 0.8858913830841865, 0.8725382226977225, 0.9165853626616673, 0.8162781414918712, 0.9134012557133648, 0.920208216775781, 0.9346589812297353]"
temporal_rev,nn,34,24,0.1437007874015748,0.25886524822695034,0.9737046261892124,0.1848101265822785,0.8843124838690494,0.1803267949175343,0.020446367938775235,78.71316119504627,0.18747598596382886,9,"[9, 8, 5, 7, 3, 4, 1, 2, 0, 6]","[0.8392353988149572, 0.8689311549749217, 0.8603226640230596, 0.8858913830841865, 0.8725382226977225, 0.9165853626616673, 0.8162781414918712, 0.9134012557133648, 0.920208216775781, 0.9346589812297353]"
dist,nn,34,24,0.14937759336099585,0.2553191489361702,0.9746845780082479,0.18848167539267016,0.8563113507109629,0.18309574404157639,0.01936730095874487,78.71316119504627,0.33060058602131903,21,"[7, 2, 5, 3, 1, 4, 0, 6, 8, 9]","[0.8418626042204411, 0.869378278744077, 0.8977099441658184, 0.8876108175843065, 0.8646955688828262, 0.8965927558321629, 0.8020036028332387, 0.9067305459983099, 0.9353319552634388, 0.9338664341684427]"
dist_leak,nn,34,24,0.15384615384615385,0.2765957446808511,0.974153770772937,0.19771863117870722,0.8649409149460563,0.19397171621972234,0.020368394605266384,78.71316119504627,0.13341361400671303,21,"[8, 9, 7, 2, 5, 3, 1, 4, 0, 6]","[0.8418626042204411, 0.869378278744077, 0.8977099441658184, 0.8876108175843065, 0.8646955688828262, 0.8965927558321629, 0.8020036028332387, 0.9067305459983099, 0.9353319552634388, 0.9338664341684427]"
stationary,nn,34,25,0.13262599469496023,0.18796992481203006,0.9728744130282746,0.15552099533437014,0.8045517233241061,0.14439155482046295,0.022687959789088056,82.23689078702591,0.007991539896465838,-1,[0],[-1]
retrain,nn,34,25,0.15,0.20300751879699247,0.9741232890398641,0.17252396166134185,0.8147001198317787,0.16157063075822906,0.022666844568760836,82.23689078702591,0.009059621952474117,-1,[10],[-1]
oracle,nn,34,25,0.1375,0.24812030075187969,0.9693276051553602,0.1769436997319035,0.895485029402181,0.17002716216601796,0.022796480023472517,82.23689078702591,0.18873992399312556,11,"[9, 8, 5, 7, 3, 1, 2, 4, 10, 6, 0]","[0.8045517233241061, 0.8699747165605385, 0.8594961926383394, 0.8771290315704207, 0.8309812349829616, 0.8825913127289671, 0.8056319413357209, 0.8780919111265405, 0.8890404550257782, 0.895485029402181, 0.8147001198317787]"
laf,nn,34,25,0.09930715935334873,0.16165413533834586,0.9693775601958238,0.12303290414878398,0.8056319413357209,0.1116995636430905,0.029208632080476016,82.23689078702591,1.0446684720227495,24,"[6, 1, 2, 3, 8, 9, 0, 7, 4, 5, 10]",[-1]
crc,nn,34,25,0.14769975786924938,0.22932330827067668,0.9721750424617844,0.1796759941089838,0.8780919111265405,0.17037389803731118,0.02166990050680982,82.23689078702591,0.12752338498830795,11,"[7, 9, 8, 5, 2, 1, 3, 10, 4, 0, 6]",[-1]
