Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
dist,cart,0,20,0.04957465532414198,0.8366336633663366,0.8474836905871389,0.09360288008861811,0.9132504804248418,0.18074604593517024,0.1029027829934567,2.0976532228523865,0.12189088598825037,14,"[0, 2, 5, 3, 1, 4]","[0.8976933157039602, 0.9431063878972912, 0.9672527188985964, 0.9536912973633871, 0.9417350688966645, 0.9666606253974304]"
dist_leak,cart,0,20,0.05495934959349594,0.8366336633663366,0.8630475302889096,0.10314311870613366,0.9114619865881592,0.19290277439431502,0.0913542175369841,2.0976532228523865,0.05155792203731835,14,"[2, 5, 3, 1, 4, 0]","[0.8976933157039602, 0.9431063878972912, 0.9672527188985964, 0.9536912973633871, 0.9417350688966645, 0.9666606253974304]"
stationary,cart,0,21,0.03669112741827885,0.7801418439716312,0.8403172866520787,0.07008601465434852,0.8554804721146669,0.14670698253835723,0.10767964810400758,2.4733112228568643,0.00781272491440177,-1,[0],[-1]
retrain,cart,0,21,0.047996661101836396,0.8156028368794326,0.873796498905908,0.09065825778478517,0.9166081156584751,0.17883339242637478,0.0872646686099542,2.4733112228568643,0.00467295094858855,-1,[6],[-1]
oracle,cart,0,21,0.047996661101836396,0.8156028368794326,0.873796498905908,0.09065825778478517,0.9166081156584751,0.17883339242637478,0.0872646686099542,2.4733112228568643,0.053726778947748244,7,"[6, 5, 1, 3, 0, 2, 4]","[0.8554804721146669, 0.8809004069832682, 0.8464591204485145, 0.8794756332012955, 0.8326821366445638, 0.8893067286935912, 0.9166081156584751]"
laf,cart,0,21,0.11494252873563218,0.425531914893617,0.9702954048140043,0.18099547511312217,0.8809004069832682,0.21014118576216667,0.031333015174897075,2.4733112228568643,3.4555569279473275,20,"[1, 5, 6, 2, 4, 0, 3]",[-1]
crc,cart,0,21,0.11494252873563218,0.425531914893617,0.9702954048140043,0.18099547511312217,0.8809004069832682,0.21014118576216667,0.031333015174897075,2.4733112228568643,0.03938749001827091,7,"[1, 0, 2, 5, 4, 6, 3]",[-1]
temporal,cart,0,21,0.03907637655417407,0.7801418439716312,0.8503282275711159,0.07442489851150202,0.8326821366445638,0.15294743449866954,0.0969279905725539,2.4733112228568643,0.06487692496739328,6,"[4, 5, 3, 1, 0, 2, 6]","[0.9132504804248418, 0.9193920238763926, 0.9114619865881592, 0.921381839708103, 0.941158902088346, 0.9222326551029363, 0.9622796636141175]"
temporal_rev,cart,0,21,0.03907637655417407,0.7801418439716312,0.8503282275711159,0.07442489851150202,0.8326821366445638,0.15294743449866954,0.0969279905725539,2.4733112228568643,0.06917987100314349,6,"[4, 5, 3, 1, 0, 2, 6]","[0.9132504804248418, 0.9193920238763926, 0.9114619865881592, 0.921381839708103, 0.941158902088346, 0.9222326551029363, 0.9622796636141175]"
dist,cart,0,21,0.11494252873563218,0.425531914893617,0.9702954048140043,0.18099547511312217,0.8809004069832682,0.21014118576216667,0.031333015174897075,2.4733112228568643,0.14914587407838553,15,"[1, 0, 2, 5, 3, 4, 6]","[0.8879273387010821, 0.8977220378920692, 0.9681907099587702, 0.9620357346225351, 0.9575763993185883, 0.9624709950434297, 0.949001739255389]"
dist_leak,cart,0,21,0.03850345078096622,0.75177304964539,0.8532822757111598,0.07325501036627505,0.8464591204485145,0.14819393622113652,0.09873095098064288,2.4733112228568643,0.07230667502153665,15,"[2, 5, 3, 4, 6, 1, 0]","[0.8879273387010821, 0.8977220378920692, 0.9681907099587702, 0.9620357346225351, 0.9575763993185883, 0.9624709950434297, 0.949001739255389]"
stationary,cart,0,22,0.05366385181149551,0.7323420074349443,0.8302780835686594,0.1,0.8421009845965721,0.16704318290313439,0.11889121777342354,2.8971705707954243,0.0056233619106933475,-1,[0],[-1]
retrain,cart,0,22,0.19047619047619047,0.35687732342007433,0.972191643134064,0.24838292367399742,0.8922843347051546,0.24768578630486543,0.01991717465047119,2.8971705707954243,0.006005201954394579,-1,[7],[-1]
oracle,cart,0,22,0.19047619047619047,0.35687732342007433,0.972191643134064,0.24838292367399742,0.8922843347051546,0.24768578630486543,0.01991717465047119,2.8971705707954243,0.07207324495539069,8,"[7, 3, 6, 5, 4, 0, 1, 2]","[0.8421009845965721, 0.84148101536882, 0.8273924197023138, 0.883091233802752, 0.8534383372603759, 0.8702852056722453, 0.8762397582056926, 0.8922843347051546]"
laf,cart,0,22,0.19047619047619047,0.35687732342007433,0.972191643134064,0.24838292367399742,0.8922843347051546,0.24768578630486543,0.01991717465047119,2.8971705707954243,4.295185100054368,21,"[7, 1, 5, 6, 4, 2, 0, 3]",[-1]
crc,cart,0,22,0.17565485362095531,0.42379182156133827,0.9669745847891639,0.24836601307189543,0.84148101536882,0.25853105399175846,0.03366587786797883,2.8971705707954243,0.05181616893969476,8,"[1, 7, 0, 2, 5, 4, 6, 3]",[-1]
temporal,cart,0,22,0.06608639587362991,0.7620817843866171,0.858277892116977,0.1216256303767428,0.8762397582056926,0.19708907783445892,0.09986892135749582,2.8971705707954243,0.06483954004943371,7,"[6, 5, 1, 3, 0, 2, 4, 7]","[0.8554804721146669, 0.8809004069832682, 0.8464591204485145, 0.8794756332012955, 0.8326821366445638, 0.8893067286935912, 0.9166081156584751, 0.9388520248874042]"
temporal_rev,cart,0,22,0.19047619047619047,0.35687732342007433,0.972191643134064,0.24838292367399742,0.8922843347051546,0.24768578630486543,0.01991717465047119,2.8971705707954243,0.06233774998690933,7,"[7, 6, 5, 1, 3, 0, 2, 4]","[0.8554804721146669, 0.8809004069832682, 0.8464591204485145, 0.8794756332012955, 0.8326821366445638, 0.8893067286935912, 0.9166081156584751, 0.9388520248874042]"
dist,cart,0,22,0.17565485362095531,0.42379182156133827,0.9669745847891639,0.24836601307189543,0.84148101536882,0.25853105399175846,0.03366587786797883,2.8971705707954243,0.18634527910035104,15,"[1, 0, 2, 5, 3, 4, 6, 7]","[0.8879273387010821, 0.8977220378920692, 0.9681907099587702, 0.9620357346225351, 0.9575763993185883, 0.9624709950434297, 0.949001739255389, 0.9463253739359391]"
dist_leak,cart,0,22,0.05771461716937355,0.7397769516728625,0.8411429665438185,0.10707559860102232,0.8273924197023138,0.1768263714354451,0.10641356648938466,2.8971705707954243,0.07981009990908206,15,"[2, 5, 3, 4, 6, 7, 1, 0]","[0.8879273387010821, 0.8977220378920692, 0.9681907099587702, 0.9620357346225351, 0.9575763993185883, 0.9624709950434297, 0.949001739255389, 0.9463253739359391]"
stationary,cart,0,23,0.03975959315765141,0.6745098039215687,0.8251124778140092,0.07509277450338354,0.8209757789316293,0.13355914768855975,0.12230121980825648,3.282541603781283,0.006355896941386163,-1,[0],[-1]
retrain,cart,0,23,0.055572803477181,0.7019607843137254,0.8713006150163041,0.10299194476409666,0.8758554915375127,0.1728504077890148,0.085629308567752,3.282541603781283,0.006063816021196544,-1,[8],[-1]
oracle,cart,0,23,0.055572803477181,0.7019607843137254,0.8713006150163041,0.10299194476409666,0.8758554915375127,0.1728504077890148,0.085629308567752,3.282541603781283,0.09711324900854379,9,"[8, 6, 3, 2, 5, 4, 0, 7, 1]","[0.8209757789316293, 0.7937035201198783, 0.8426200665482277, 0.8545574411977374, 0.8276634832140766, 0.833725457478169, 0.865967566736356, 0.8139057658771836, 0.8758554915375127]"
laf,cart,0,23,0.13454545454545455,0.2901960784313726,0.9728814958517357,0.18385093167701863,0.8139057658771836,0.18521969995343163,0.02157029789791181,3.282541603781283,5.13823957904242,22,"[7, 1, 5, 8, 6, 2, 4, 0, 3]",[-1]
crc,cart,0,23,0.13454545454545455,0.2901960784313726,0.9728814958517357,0.18385093167701863,0.8139057658771836,0.18521969995343163,0.02157029789791181,3.282541603781283,0.06578934798017144,9,"[7, 1, 2, 5, 0, 6, 4, 8, 3]",[-1]
temporal,cart,0,23,0.13454545454545455,0.2901960784313726,0.9728814958517357,0.18385093167701863,0.8139057658771836,0.18521969995343163,0.02157029789791181,3.282541603781283,0.08011505496688187,8,"[7, 3, 6, 5, 4, 0, 1, 2, 8]","[0.8421009845965721, 0.84148101536882, 0.8273924197023138, 0.883091233802752, 0.8534383372603759, 0.8702852056722453, 0.8762397582056926, 0.8922843347051546, 0.9443215541282974]"
temporal_rev,cart,0,23,0.055572803477181,0.7019607843137254,0.8713006150163041,0.10299194476409666,0.8758554915375127,0.1728504077890148,0.085629308567752,3.282541603781283,0.08111866097897291,8,"[8, 7, 3, 6, 5, 4, 0, 1, 2]","[0.8421009845965721, 0.84148101536882, 0.8273924197023138, 0.883091233802752, 0.8534383372603759, 0.8702852056722453, 0.8762397582056926, 0.8922843347051546, 0.9443215541282974]"
