Scenario,Model,Round,Testing Period,Test P,Test R,Test A,Test F,Test AUC,Test MCC,Test B,Training Time,Testing Time,Validation Period,Model Ranking,Validation Perf
laf,lr,62,8,0.634375,0.020070196252904248,0.7545913935078125,0.03890938712923475,0.5809030249979201,0.07963727108262666,0.2124277006416715,32.0711455749115,1.534922389080748,7,"[1, 2, 0, 3]",[-1]
crc,lr,62,8,0.6078431372549019,0.04137624202877058,0.7561208383805014,0.07747847820049986,0.5884170254649306,0.10930008103867425,0.18460060291387528,32.0711455749115,0.13225885306019336,4,"[2, 3, 1, 0]",[-1]
temporal,lr,62,8,0.6078431372549019,0.04137624202877058,0.7561208383805014,0.07747847820049986,0.5884170254649306,0.10930008103867425,0.18460060291387528,32.0711455749115,0.11830144806299359,3,"[2, 0, 1, 3]","[0.5796157185593861, 0.5787439729531481, 0.6067858571404443, 0.6112314887240213]"
temporal_rev,lr,62,8,0.5237234523271577,0.05729398388452222,0.7537716110560511,0.10328847696283754,0.607598712224702,0.10677136151025184,0.18355746162741643,32.0711455749115,0.1674736610148102,3,"[3, 2, 0, 1]","[0.5796157185593861, 0.5787439729531481, 0.6067858571404443, 0.6112314887240213]"
dist,lr,62,8,0.6078431372549019,0.04137624202877058,0.7561208383805014,0.07747847820049986,0.5884170254649306,0.10930008103867425,0.18460060291387528,32.0711455749115,0.3800576099893078,6,"[2, 0, 1, 3]","[0.5796157185593861, 0.5787439729531481, 0.6067858571404443, 0.6112314887240213]"
dist_leak,lr,62,8,0.5237234523271577,0.05729398388452222,0.7537716110560511,0.10328847696283754,0.607598712224702,0.10677136151025184,0.18355746162741643,32.0711455749115,0.17155741597525775,6,"[3, 2, 0, 1]","[0.5796157185593861, 0.5787439729531481, 0.6067858571404443, 0.6112314887240213]"
stationary,lr,63,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321576672182353,0.016721319141250825,0.2310144183663566,12.675222130026668,0.026504214038141072,-1,[0],[-1]
retrain,lr,63,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321576672182353,0.016721319141250825,0.2310144183663566,12.675222130026668,0.02588254294823855,-1,[0],[-1]
oracle,lr,63,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321576672182353,0.016721319141250825,0.2310144183663566,12.675222130026668,0.05611512390896678,1,[0],[0.5321576672182353]
laf,lr,63,5,1.0,0.0004590103736344441,0.6092121792187594,0.0009175995595522114,0.5321576672182353,0.016721319141250825,0.2310144183663566,12.675222130026668,0.025535469059832394,-1,[0],[-1]
